customer_id,age,education,job,balance,duration,complaint,converted
CUST101,35,tertiary,management,2000.0,220,The interest rate on my home loan was increased suddenly without any prior email notification. [Doc-201],1
CUST102,41,secondary,technician,600.0,110,Mobile app keeps crashing whenever I try to scan a QR code for payments. [Doc-202],0
CUST103,29,tertiary,self-employed,15000.0,480,Excellent service at the downtown branch. The staff helped me resolve credit card issues in minutes. [Doc-203],1
CUST104,55,primary,blue-collar,250.0,60,Unable to withdraw cash from the local ATM as it is out of service constantly during weekends. [Doc-204],0
CUST105,38,secondary,services,2800.0,340,Highly dissatisfied with the double billing on my monthly credit card fees. [Doc-205],1
CUST106,65,tertiary,retired,75000.0,410,My online stock trading account is locked and customer support has not replied to my emails. [Doc-206],1
CUST107,44,secondary,admin.,-50.0,50,Credit card payment was declined at a merchant location despite having a positive credit limit. [Doc-207],0
CUST108,24,secondary,services,300.0,150,I was charged a foreign transaction fee for an online payment that was billed in USD. [Doc-208],0
CUST109,48,tertiary,entrepreneur,9200.0,550,The auto loan interest rate offered is higher than the rate on your website promotional banner. [Doc-209],1
CUST110,32,secondary,management,1800.0,130,I was registered for standard SMS notifications without consent and am being charged monthly. [Doc-210],0
